SP,noSP,sub
205.94344,158.8684,47.07504
132.4446,93.22019,39.22441
207.14337,159.312,47.83137
193.15508,138.46487,54.69021
72.233,32.98372,39.24928
207.52188,152.1895,55.33238
211.07335,151.36278,59.71057
110.81063,61.8589,48.95173
322.66754,243.1355,79.53204
115.25417,62.945114,52.309056
143.78787,84.49614,59.29173
194.09686,123.74681,70.35005
93.40889,48.412823,44.996067
140.61655,100.43512,40.18143
90.91053,45.004765,45.905765
109.47651,49.83892,59.63759
182.85437,125.84488,57.00949
327.23682,249.402,77.83482
186.39561,131.4745,54.92111
205.69458,158.51337,47.18121
113.59897,73.3714,40.22757
172.1802,138.43074,33.74946
80.54536,43.34761,37.19775
108.0816,48.65575,59.42585
110.59566,62.185287,48.410373
190.30132,130.8672,59.43412
329.21606,268.51898,60.69708
148.08784,93.46147,54.62637
231.28978,196.06657,35.22321
140.03061,79.38733,60.64328
115.83586,71.682816,44.153044
220.97162,167.47769,53.49393
129.23851,86.549675,42.688835
76.42468,47.350674,29.074006
179.23201,139.07472,40.15729
162.07574,101.57059,60.50515
110.683846,68.2029,42.480946
209.52309,160.9357,48.58739
279.15405,213.05177,66.10228
170.83391,112.83247,58.00144
95.65987,49.141365,46.518505
103.50012,68.396225,35.103895
167.20265,102.314125,64.888525
240.48268,195.97626,44.50642
127.19249,76.147736,51.044754
164.54617,90.348625,74.197545
153.1438,87.31289,65.83091
145.90991,78.988335,66.921575
104.37192,71.36057,33.01135
153.78261,108.1168,45.66581
323.13196,297.14087,25.99109
96.82572,61.79592,35.0298
103.72357,64.109474,39.614096
169.80675,119.61294,50.19381
150.99358,98.972374,52.021206
75.593956,56.123035,19.470921
74.640114,46.403206,28.236908
95.638855,53.594414,42.044441
231.71205,163.33304,68.37901
153.32764,119.51453,33.81311
130.04474,111.11533,18.92941
120.930046,74.76453,46.165516
190.53366,132.37584,58.15782
166.94687,108.68058,58.26629
134.75154,73.97385,60.77769
139.94707,73.86503,66.08204
192.11813,122.07002,70.04811
376.87378,336.01895,40.85483
150.62541,95.95756,54.66785
335.5028,268.76685,66.73595
129.1631,76.44331,52.71979
166.01949,90.82447,75.19502
232.86743,181.03026,51.83717
73.305145,50.182644,23.122501
238.30536,172.04778,66.25758
187.31367,136.40405,50.90962
291.83194,221.51785,70.31409
110.01494,71.66361,38.35133
199.503,132.46628,67.03672
140.749,81.00709,59.74191
189.87427,136.43414,53.44013
79.07769,42.54535,36.53234
336.31714,257.58636,78.73078
239.5956,193.21373,46.38187
187.99564,148.28596,39.70968
224.14172,140.65797,83.48375
216.42953,156.35535,60.07418
133.0916,75.25337,57.83823
133.3825,83.124886,50.257614
145.69815,112.237915,33.460235
