SP,noSP
16.475069,13.005805
11.677311,10.257475
13.689128,11.135377
11.799162,9.850652
14.243855,11.510691
9.034142,7.326138
6.901925,6.1364374
6.5928264,5.626369
22.322668,18.006716
12.750571,9.704866
9.98265,7.823125
12.303099,8.9933815
5.789548,5.5907636
10.265673,6.4097314
4.994117,6.072915
8.915205,6.7078404
6.396864,4.455697
10.290094,9.020765
13.354576,8.385502
16.899769,14.113914
10.254306,8.589111
10.653325,9.540621
11.3585,9.258079
8.258294,7.1187882
12.210665,9.633217
9.676793,7.526411
18.745932,16.373596
10.28572,8.821156
10.187674,8.906866
9.18574,7.785346
10.199274,8.525148
7.5236163,5.3581038
4.1115775,4.41492
12.865805,11.411534
8.944774,5.921535
8.61311,6.6207194
7.837566,7.798319
15.156473,12.222981
7.188164,5.61969
15.409447,12.829934
9.867803,8.55818
6.9113727,4.8454237
10.823988,8.508422
11.538934,9.392096
12.267456,10.658017
10.087229,8.694034
2.2869394,2.3296678
14.835785,11.076779
6.7335835,5.240221
7.9389853,7.0491047
6.128009,5.1254945
14.8507805,11.6221485
9.202873,7.516757
13.051139,10.333506
18.000843,14.435487
9.408352,7.0520597
14.59907,11.192511
7.879395,6.04217
9.827126,6.727372
8.15671,7.2070565
13.081506,10.960246
11.725619,7.9742246
8.6975565,5.852388
11.750962,9.504952
6.931296,5.804621
8.417121,8.9633665
11.71486,9.04242
10.381319,7.8138466
6.0374565,5.5515194
13.681687,12.001901
12.861076,10.60324
11.544458,9.607193
9.414903,6.4184537
8.402245,6.6581497
8.709461,8.180399
9.82673,7.2928157
7.499637,4.6694794
12.483026,10.1574745
13.165288,11.521709
10.533182,9.179344
18.378555,14.678676
1.7123408,1.8527979
4.972546,5.155885
4.6701074,2.8577268
8.620039,5.0551877
8.364574,5.5301046
11.684255,9.804137
10.434175,9.828473
7.0403886,6.83376
6.2549515,5.4691544
15.494881,10.136197
6.276541,4.615718
17.386654,14.186373
5.093553,4.0088406
9.902073,7.3411193
10.307901,9.717366
10.729579,9.12582
6.256292,5.6609035
10.747456,8.493753
9.90357,6.802821
5.7557354,5.0160604
12.167678,9.815167
7.931871,5.8653855
12.434922,9.162344
11.30992,8.946424
11.122903,7.5713787
8.661591,7.838703
5.631286,4.2993627
8.968468,8.177935
11.163737,8.545882
11.814418,6.8021975
17.107954,12.788201
10.865731,7.0331736
13.09089,10.107419
10.445775,8.0759735
13.919347,10.131606
6.9679184,5.546612
9.619381,10.476223
11.235928,10.022465
6.0497637,5.1948333
8.809339,6.203663
10.30634,8.152085
10.967126,9.161991
7.4575396,6.3678765
6.159116,6.4820366
8.476447,6.750375
11.917987,8.997241
8.718186,6.1665883
5.6244574,5.3140063
18.024467,14.865884
15.871341,12.434221
7.2103543,4.529672
18.896534,15.983102
13.290853,10.59512
8.257946,7.1748734
10.934085,8.995549
12.533594,9.722262
6.858438,5.3798704
13.302899,10.420688
11.199724,7.703708
15.622448,12.6199045
15.237135,11.790304
10.790694,9.4660425
10.510572,7.607651
11.53117,9.023126
13.032189,10.743596
5.349105,4.8772798
11.924181,9.559729
16.699265,14.971769
10.424054,9.823576
10.24148,9.05203
10.493951,7.7492924
8.150527,5.7503686
7.7790623,5.154021
10.194159,8.197544
10.799935,6.3530893
16.610598,13.733182
6.1388273,5.555003
9.098792,8.119939
10.629418,8.969371
12.380931,10.408892
8.117455,5.931582
9.309789,6.6021996
8.154835,8.053999
8.268968,7.3598027
9.009047,5.87216
10.945393,7.3445106
10.381118,8.712051
5.09583,4.0282145
6.191787,4.7039776
11.298254,7.868615
7.1729827,6.1207924
5.2938476,4.3930454
8.414215,7.0293045
10.516722,7.921208
12.124434,10.655018
13.388184,9.862566
7.0624094,5.990293
14.341521,12.609745
8.984091,7.2206445
5.017077,4.822101
11.69213,9.81472
6.9048324,5.931649
12.95786,9.663211
8.1144,5.9160233
7.312188,5.2260027
8.499239,7.2159534
10.7641535,8.5283165
10.230064,8.311444
8.282133,6.8694167
14.694599,12.360873
19.761827,15.995438
10.431686,8.314298
12.827029,10.136776
5.13503,3.1536355
8.134737,6.5792036
12.409519,9.113793
11.838579,9.470897
18.832497,15.265393
10.677824,8.663995
8.154224,6.0669007
17.491922,13.910385
4.126524,3.3323505
8.0280485,4.463125
11.9451475,8.131468
9.069268,6.71192
7.5865393,5.555583
14.331422,12.225885
12.419274,10.99429
9.303152,9.270545
11.424593,8.494143
11.073113,8.662851
9.599748,7.6594453
10.754446,8.468634
3.8554296,3.2855737
9.358329,8.36318
11.445306,8.664394
5.7457104,5.13762
12.74024,10.376517
13.510935,10.369323
9.879031,7.122155
4.5340686,4.082454
12.220746,10.045073
10.441492,8.2934065
5.8597126,5.663498
5.9005895,5.8701134
14.093936,10.0992
9.120221,8.055497
10.410315,8.726415
13.1996975,10.019458
9.611537,8.552764
10.537072,8.425757
13.397327,9.574146
12.722678,10.41925
9.187605,7.0467205
11.805404,9.193768
12.536623,8.577286
17.307455,14.26293
7.979208,7.181332
18.736567,15.288744
10.375654,8.407131
8.143519,6.879466
3.6866755,3.078037
9.63533,7.9630313
5.139549,4.9916444
15.070453,12.598403
11.871619,9.203177
14.517739,11.280687
12.820549,11.353396
17.168163,13.661394
13.2673645,10.571289
8.336433,7.25524
10.231974,7.3034387
12.144002,11.03359
8.23067,7.2266965
8.810605,6.720837
7.0780377,4.9071627
6.5220895,4.76419
8.900116,6.277656
6.8883877,6.013928
6.129797,5.9196687
11.917029,9.307644
6.4793377,7.4670877
6.67174,4.9327736
7.307912,5.8469167
9.833524,6.9938693
5.559504,4.8710375
11.169302,9.091156
9.369016,8.057798
6.885991,6.531544
10.311162,8.021198
5.123537,4.975178
6.6323147,5.45008
10.669549,7.7704625
8.912279,8.185818
5.648899,4.9433722
10.393265,7.9869304
10.94157,9.437012
12.844362,10.269442
8.3802,6.1838093
10.724576,8.356403
12.404811,10.174725
10.11176,7.7648664
8.36215,7.2016516
12.928142,9.6022005
10.622001,9.662864
11.624484,11.823854
9.573683,7.667314
