SP,noSP
4.3614597,4.0929813
5.956406,5.1887493
5.2362523,5.317084
5.090451,4.658202
4.2853537,3.8141239
7.0845475,6.9685464
4.3915467,3.916911
4.293145,3.6334157
5.3970194,5.213337
6.1632414,5.531628
7.0187626,6.5372734
4.6981726,4.566368
6.352429,6.0798087
4.6384444,4.990618
4.23316,4.216408
5.4166613,4.9073195
3.7337244,3.7171667
2.3575277,2.2655036
5.487957,5.054594
5.8326693,5.466757
5.8070045,5.464656
5.2230453,4.8116155
5.3123226,4.6046677
4.0541034,3.715494
4.5807886,4.288278
4.6776357,4.0178747
5.9090257,5.379604
6.220595,5.8176584
4.071012,4.112057
5.5788393,4.7992125
4.4787483,4.3511443
3.9942033,4.0845203
6.583883,6.4590487
8.383705,7.945094
3.5875547,3.4615161
6.296344,5.795885
4.9790792,4.3711724
5.3846893,5.069117
3.457221,3.3178372
4.877565,4.953387
5.4581766,5.5752573
6.9804125,6.4307756
4.128324,3.8705401
4.1356926,4.079564
3.9156349,3.8426156
5.9630275,5.6100755
4.2860703,4.140177
6.055513,5.5162196
5.088994,4.8229494
4.8111606,4.4823203
5.4889035,4.895654
4.839621,4.4535823
5.932277,6.0694017
4.8535104,4.3506217
4.3867564,4.3449836
2.1949918,2.022699
4.3604946,4.3825192
5.6995454,5.4135723
4.1253505,4.034349
4.25567,4.1659236
4.5291033,4.359177
4.996391,4.693722
4.6196523,4.778913
5.7681546,5.025854
3.8090582,3.641559
7.862006,7.2729335
6.476039,5.968911
3.2786524,3.044518
5.6258397,5.3402686
4.596415,4.6075006
6.5314646,6.4427414
2.8422358,2.606423
4.0833106,3.7639127
5.217919,4.5347447
6.775947,5.974415
5.215964,4.586745
5.846225,5.451414
4.098178,3.9485054
7.501254,6.8069816
5.216239,4.869803
3.1800933,2.9880393
6.1770983,5.66127
3.962846,3.6069484
4.435638,4.409793
6.1392374,5.759917
5.2910304,5.1567473
4.309798,4.0596156
4.3784685,4.130196
4.136067,3.882476
7.482621,6.944109
5.068929,4.6200376
4.108804,4.0415998
4.026428,3.9979477
5.5563083,4.784314
5.304245,5.3269854
2.7178943,2.4031594
5.699248,5.451857
4.3563056,4.016336
4.572094,4.212954
3.943732,3.869912
4.9181046,4.911456
3.5076132,3.372121
5.1223817,5.0615754
4.9650273,4.490559
3.468194,3.200727
4.2809134,3.812939
4.4099765,4.0739903
4.1665916,4.0983076
3.8233914,3.4312797
6.5082846,6.365797
4.9472103,4.7903156
6.1860538,5.8432026
5.2363243,4.5518584
5.7007475,4.8199825
5.194117,4.8123875
3.796087,3.9551816
4.801191,4.7315507
4.0066967,3.5458746
5.096519,4.5816975
7.09416,6.1577497
5.697014,5.7888637
6.196582,5.7634363
5.7920923,5.491244
3.748658,3.6898558
5.218501,4.884015
4.8721786,4.538623
4.7425427,4.5833383
5.2155285,4.7152543
4.3367157,3.8108826
4.2846446,4.101568
4.5067496,4.543542
5.00754,4.4758134
5.2115154,5.0314403
3.2691438,3.1711092
3.5906813,3.3599215
4.715814,4.359696
6.3421307,5.8256364
5.000457,4.5971975
6.6239305,6.117244
5.1476226,4.5512967
3.7267663,3.347941
3.503759,3.455042
