real_mean,est_mean,real_S,est_S
2.4536426,3.47112074241937,1.0286165,0.052732107094525915
2.4536426,2.813633649767473,1.0286165,0.35466110203046153
2.4536426,1.2426107622964269,1.0286165,1.6782192790104355
2.4536426,3.9167701977995146,1.0286165,0.7271764438307993
2.4536426,2.652193226580035,1.0286165,0.20325881069901275
2.4536426,3.2226960084036413,1.0286165,0.31959219452312504
2.4536426,1.2922756824869497,1.0286165,0.4461955295840332
2.4536426,3.139287224500106,1.0286165,0.12732906748001072
2.4536426,1.7221363906893195,1.0286165,0.5253338318186969
2.4536426,3.5069673732988305,1.0286165,0.6548130850678422
2.4536426,1.7765843541797666,1.0286165,0.012192191176361611
2.4536426,3.9250685107607604,1.0286165,1.5019674692710359
2.4536426,3.3159747797070223,1.0286165,0.6057739916273785
2.4536426,3.312608583434625,1.0286165,0.17151280318214934
2.4536426,2.2008146290558237,1.0286165,0.4603247964422216
2.4536426,2.2604794712337783,1.0286165,0.4021193515799859
2.4536426,1.41321289304243,1.0286165,0.7393588025910841
2.4536426,2.4959941617585395,1.0286165,0.7506706947068402
2.4536426,2.759548232061621,1.0286165,0.12182512741137619
2.4536426,1.6490192746231873,1.0286165,0.5263056616709704
2.4536426,3.8283805053297715,1.0286165,0.11257648125966702
2.4536426,2.453396810203926,1.0286165,0.7355523228395857
2.4536426,1.689865693088334,1.0286165,0.7578258150493684
2.4536426,1.2931116415766564,1.0286165,0.09342535447431366
2.4536426,3.4653325195135283,1.0286165,1.8144377976908261
2.4536426,2.780155657363529,1.0286165,0.5008635195990236
2.4536426,2.5593471935363983,1.0286165,0.5026658700914028
2.4536426,2.479820468160998,1.0286165,0.1981296401418826
2.4536426,2.8475248810357012,1.0286165,0.19178798324753155
2.4536426,3.3605683900073204,1.0286165,0.7096814871257937
2.4536426,1.9011819998885788,1.0286165,1.6108962271078204
2.4536426,3.8521542523119647,1.0286165,0.03521667764558245
2.4536426,2.34391594198906,1.0286165,0.02772580596324392
2.4536426,2.2449180871866625,1.0286165,0.5015948561967554
2.4536426,2.7683460268086497,1.0286165,1.5281848250811596
2.4536426,2.9045494525669353,1.0286165,0.14475555108127325
2.4536426,1.9870613224797113,1.0286165,0.690950206222231
2.4536426,3.333193969151363,1.0286165,0.2703547898964689
2.4536426,3.4280339582402495,1.0286165,0.11118810213026764
2.4536426,3.089292404255949,1.0286165,0.6330946230548473
2.4536426,3.148313846743843,1.0286165,0.6038253916491154
2.4536426,3.0893470992648293,1.0286165,0.5723048698622966
2.4536426,2.2395366064466566,1.0286165,0.3143973069666004
2.4536426,2.977836990484905,1.0286165,0.930816870004056
2.4536426,1.5397339116482804,1.0286165,0.993708208927313
2.4536426,3.359169341254116,1.0286165,1.1978837765196708
